,iter,norm
34,35,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 5}"
35,36,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 5, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 5}"
36,37,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 8, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 8}"
37,38,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 8, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 8}"
38,39,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 8, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 8}"
39,40,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 8, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 8}"
40,41,"{'number_adjacent_facts_other_value': 7, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 7, 'number_adjacent_block_facts': 4}"
41,42,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 8, 'number_adjacent_block_facts': 4}"
42,43,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 2, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
43,44,"{'number_adjacent_facts_other_value': 2, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 2}"
44,45,"{'number_adjacent_facts_other_value': 2, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 2}"
45,46,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 5, 'number_adjacent_block_facts': 2}"
46,47,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 8, 'number_adjacent_block_facts': 2}"
47,48,"{'number_adjacent_facts_other_value': 6, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 6, 'number_adjacent_block_facts': 1}"
48,49,"{'number_adjacent_facts_other_value': 7, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 7, 'number_adjacent_block_facts': 1}"
49,50,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 7, 'number_adjacent_block_facts': 2}"
50,51,"{'number_adjacent_facts_other_value': 8, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 8, 'number_adjacent_block_facts': 2}"
51,52,"{'number_adjacent_facts_other_value': 6, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 2, 'other_block_cons': 2, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 6, 'number_adjacent_block_facts': 2}"
