,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
81,82,0,"[5, 1, 0, 1, 0, 0, 1, 0, 2, 1, 2, 5]",,"[5, 1, 0, 0, 0, 1, 1, 0, 0, 1, 2, 5]",,5,1
82,83,0,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 3, 5, 2]",,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 4, 4, 1]",,5,1
83,84,0,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 1, 7, 3]",,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 2, 6, 2]",,5,0
84,85,0,"[5, 1, 0, 0, 0, 1, 1, 0, 0, 1, 2, 5]",,"[7, 1, 0, 0, 1, 1, 1, 0, 0, 2, 1, 6]",,5,0
85,86,0,"[8, 0, 0, 1, 0, 0, 0, 0, 0, 0, 8, 2]",,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 1, 7, 1]",,5,0
86,87,0,"[8, 0, 0, 1, 0, 0, 0, 0, 0, 0, 8, 2]",,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 1, 7, 1]",,5,0
87,88,0,"[6, 2, 0, 1, 0, 0, 0, 2, 0, 0, 6, 1]",,"[3, 3, 0, 1, 0, 0, 0, 2, 1, 0, 3, 1]",,5,0
88,89,0,"[2, 2, 0, 0, 1, 0, 0, 0, 2, 2, 0, 2]",,"[1, 3, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1]",,5,0
89,90,0,"[1, 3, 0, 1, 0, 0, 0, 1, 2, 0, 1, 1]",,"[4, 2, 0, 0, 1, 0, 1, 1, 2, 1, 1, 4]",,5,0
90,91,0,"[2, 2, 0, 0, 1, 0, 0, 0, 2, 2, 0, 2]",,"[1, 3, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1]",,5,0
91,92,0,"[1, 3, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1]",,"[1, 3, 0, 1, 0, 0, 0, 1, 2, 0, 1, 1]",,5,0
92,93,0,"[2, 2, 0, 1, 0, 0, 0, 0, 2, 0, 2, 2]",,"[4, 2, 0, 1, 0, 0, 0, 1, 1, 0, 4, 2]",,5,0
93,94,0,"[2, 2, 0, 0, 1, 0, 0, 0, 2, 2, 0, 2]",,"[5, 1, 0, 0, 1, 0, 0, 0, 1, 5, 0, 2]",,5,1
94,95,0,"[2, 2, 0, 1, 0, 0, 0, 0, 2, 0, 2, 2]",,"[5, 1, 0, 1, 0, 0, 0, 0, 1, 0, 5, 2]",,5,1
95,96,0,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 2, 6, 2]",,"[8, 0, 0, 1, 1, 0, 0, 0, 0, 3, 5, 1]",,5,Draw
96,97,0,"[5, 1, 0, 0, 1, 0, 0, 0, 1, 5, 0, 2]",,"[2, 2, 0, 0, 1, 0, 0, 0, 2, 2, 0, 2]",,5,0
97,98,0,"[8, 0, 0, 0, 1, 0, 0, 0, 0, 8, 0, 2]",,"[5, 1, 0, 0, 1, 0, 0, 0, 1, 5, 0, 2]",,5,0
98,99,0,"[8, 0, 0, 0, 1, 0, 0, 0, 0, 8, 0, 2]",,"[8, 0, 0, 0, 0, 1, 0, 0, 0, 2, 2, 8]",,5,Draw
99,100,0,"[4, 2, 0, 0, 1, 0, 1, 0, 1, 4, 0, 1]",,"[4, 2, 0, 1, 0, 0, 0, 1, 1, 0, 4, 1]",,5,Draw
