,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,name
74,1.4982222222222223,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.751,1.376,1.3166666666666669,1.2093333333333334,Final
75,1.4982222222222223,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.751,1.376,1.3166666666666669,1.2093333333333334,Starting
76,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,Difference
77,1.3315555555555556,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.751,1.2093333333333331,1.3166666666666669,1.2093333333333334,Final
78,1.3315555555555556,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.751,1.2093333333333331,1.3166666666666669,1.2093333333333334,Starting
79,-0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16666666666666666,0.0,0.0,Difference
80,1.2482222222222223,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.751,1.126,1.3166666666666669,1.2093333333333334,Final
81,1.2482222222222223,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.751,1.126,1.3166666666666669,1.2093333333333334,Starting
82,-0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16666666666666666,0.0,0.0,Difference
83,1.164888888888889,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.751,1.0426666666666666,1.3166666666666669,1.2093333333333334,Final
84,1.164888888888889,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.751,1.0426666666666666,1.3166666666666669,1.2093333333333334,Starting
85,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,Difference
86,1.2482222222222223,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.751,1.2926666666666666,1.3166666666666669,1.2093333333333334,Final
87,1.2482222222222223,1.9166666666666663,3.08974358974359,1.001,1.5,3.0,5.0625,4.479166666666666,1.751,1.2926666666666666,1.3166666666666669,1.2093333333333334,Starting
88,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,Difference
